Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БУРГАС,СРЕДЕЦ,С.ЗАГОРЦИ,"Основно училище ""Св. Св. Кирил и Методий""",201102,10,23.9,10,27.75
БУРГАС,СРЕДЕЦ,С.ФАКИЯ,"Основно училище""Никола Йонков Вапцаров""",201103,4,13.75,4,28.25
БУРГАС,СУНГУРЛАРЕ,ГР.СУНГУРЛАРЕ,"Средно училище ""Христо Ботев""",201212,42,43.88,43,39.43
БУРГАС,СУНГУРЛАРЕ,С.ГРОЗДЕН,"Основно училище ""Св.св.Кирил и Методий""",201206,10,36.2,10,48.5
БУРГАС,СУНГУРЛАРЕ,С.ЛОЗАРЕВО,"Основно училище ""Христо Ботев""",201207,17,39.76,17,44.65
БУРГАС,СУНГУРЛАРЕ,С.МАНОЛИЧ,"Основно училище ""Св.Св.Кирил и Методий""",201208,2,50,2,51
БУРГАС,СУНГУРЛАРЕ,С.ПРИЛЕП,"Основно училище ""Васил Левски""",201209,2,36,2,26.5
БУРГАС,СУНГУРЛАРЕ,С.СЪЕДИНЕНИЕ,"Основно училище ""Отец Паисий""",201211,12,47.5,12,49.08
БУРГАС,ЦАРЕВО,ГР.АХТОПОЛ,"Основно училище""Св.Св.Кирил и Методий""",201304,11,44.64,12,44.5
БУРГАС,ЦАРЕВО,ГР.ЦАРЕВО,"Средно училище ""Никола Йонков Вапцаров""",201305,58,79.03,58,66.01
ВАРНА,АВРЕН,С.АВРЕН,"Основно училище ""Христо Ботев""",400079,4,52.5,4,48.38
ВАРНА,АВРЕН,С.АВРЕН,"Частно средно училище ""Юрий Гагарин""",403559,15,78.13,15,74.8
