"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"ШУМЕН","ВЪРБИЦА","ГР.ВЪРБИЦА","2 700 062","Средно училище  ""Св. Паисий Хилендарски""","41","3,89","0","0,00","0","0,00","0","0,00","3","4,13","4","4,98","0","0,00","21","4,57","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","КАОЛИНОВО","ГР.КАОЛИНОВО","2 700 216","Средно  училище  ""Георги Стойков Раковски""","28","3,11","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","26","3,57","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","КАСПИЧАН","ГР.КАСПИЧАН","2 700 067","Средно  училище  ""Панайот Волов""","13","3,61","0","0,00","0","0,00","0","0,00","2","3,15","0","0,00","0","0,00","11","4,11","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","НИКОЛА КОЗЛЕВО","С.НИКОЛА КОЗЛЕВО","2 700 192","Средно училище   ""Цанко Бакалов Церковски""","38","2,98","0","0,00","1","2,29","0","0,00","19","3,07","0","0,00","0","0,00","3","3,03","0","0,00","0","0,00","1","5,35","0","0,00","0","0,00","0","0,00"
"ШУМЕН","НОВИ ПАЗАР","ГР.НОВИ ПАЗАР","2 700 220","Професионална гимназия по селско стопанство","15","2,93","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","17","3,26","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","НОВИ ПАЗАР","ГР.НОВИ ПАЗАР","2 700 224","Професионална гимназия по химични   технологии и дизайн  ""Проф. д-р Асен Златаров""","26","2,99","0","0,00","1","3,14","0","0,00","0","0,00","0","0,00","0","0,00","24","3,20","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","НОВИ ПАЗАР","ГР.НОВИ ПАЗАР","2 700 047","Средно училище ""Васил Левски""","43","3,75","0","0,00","0","0,00","0","0,00","7","3,44","0","0,00","2","4,96","29","4,10","5","4,17","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","НОВИ ПАЗАР","ГР.НОВИ ПАЗАР","2 700 071","Средно училище  ""Хан Исперих""","23","3,69","0","0,00","1","4,09","0","0,00","0","0,00","0","0,00","0","0,00","19","4,23","3","3,76","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","СМЯДОВО","ГР.СМЯДОВО","2 700 191","Средно училище ""Свети свети Кирил и Методий""","9","3,30","0","0,00","0","0,00","0","0,00","1","2,75","0","0,00","0","0,00","8","3,74","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","ХИТРИНО","С.ХИТРИНО","2 700 088","Средно училище   ""Д-р Петър Берон""","2","3,48","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","2","3,43","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
