Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400274;ОУ МАТИ БОЛГАРИЯ;74;61.51;74;40.32
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400275;ОУ Чудомир;53;35.98;52;18.54
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400276;ОУ Н.Й.Вапцаров;84;52.95;85;34.39
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400277;ОУ Антон Страшимиров;41;12.27;38;16.05
СТАРА ЗАГОРА;КАЗАНЛЪК;С.БУЗОВГРАД;2400278;ОУ – Бузовград;6;22.50;6;14.71
СТАРА ЗАГОРА;КАЗАНЛЪК;С.ГОРНО ЧЕРКОВИЩЕ;2400279;ОУ Св.Кл.Охридски;12;10.71;12;14.92
СТАРА ЗАГОРА;КАЗАНЛЪК;С.ЕНИНА;2400280;ОУ ЕНИНА;16;31.84;16;18.80
СТАРА ЗАГОРА;КАЗАНЛЪК;С.КОПРИНКА;2400281;ОУ -с.Копринка;11;30.86;11;22.70
СТАРА ЗАГОРА;КАЗАНЛЪК;С.КРЪН;2400282;ОУ Св. Климент Охридски;10;11.50;9;16.42
СТАРА ЗАГОРА;КАЗАНЛЪК;С.КЪНЧЕВО;2400283;ОУ Св. Св. Кирил и Методий;9;11.94;9;15.83
СТАРА ЗАГОРА;КАЗАНЛЪК;С.ОВОЩНИК;2400284;ОУ Д-р Петър Берон;10;33.70;8;24.09
СТАРА ЗАГОРА;КАЗАНЛЪК;С.РЪЖЕНА;2400286;ОУ Св.Св.Кирил и Методий;11;14.64;12;9.85
СТАРА ЗАГОРА;КАЗАНЛЪК;С.ХАДЖИДИМИТРОВО;2400287;ОУ Свети Паисий Хилендарски;10;12.60;9;15.44
СТАРА ЗАГОРА;КАЗАНЛЪК;С.ШЕЙНОВО;2400288;ОУ Д-р П.Берон;6;16.75;6;13.17
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.ШИПКА;2400289;ОУ гр.Шипка;7;30.21;7;14.57
СТАРА ЗАГОРА;ОПАН;С.ОПАН;2400837;ОУ Хр. Ботев с. Опан;17;14.82;18;13.49
СТАРА ЗАГОРА;РАДНЕВО;ГР.РАДНЕВО;2401052;СУ Гео Милев;66;41.92;66;23.57
СТАРА ЗАГОРА;РАДНЕВО;ГР.РАДНЕВО;2401054;I ОУ Св. Кл.Охридски Раднево;10;28.20;10;18.40
СТАРА ЗАГОРА;РАДНЕВО;ГР.РАДНЕВО;2401055;ІІ ОУ Св. П. Хилендарски;55;29.93;56;19.53
СТАРА ЗАГОРА;РАДНЕВО;С.КОЛАРОВО;2401058;ОУ Поп Минчо;9;28.94;9;17.39
СТАРА ЗАГОРА;РАДНЕВО;С.СЪРНЕВО;2401060;ОУ . с. Сърнево;9;19.67;10;13.20
СТАРА ЗАГОРА;ЧИРПАН;ГР.ЧИРПАН;2401178;СУ П.К.Яворов;76;48.52;76;28.01
СТАРА ЗАГОРА;ЧИРПАН;ГР.ЧИРПАН;2401181;ОУ В.Левски Чирпан;16;37.34;16;30.91
СТАРА ЗАГОРА;ЧИРПАН;ГР.ЧИРПАН;2401182;ОУ Св. Св. Кирил и Методий;61;8.84;62;15.00
СТАРА ЗАГОРА;ЧИРПАН;С.ГИТА;2401184;ОУ В. Левски . Гита;6;19.25;6;32.17
СТАРА ЗАГОРА;ЧИРПАН;С.ЗЕТЬОВО;2401185;ОУ От. Паисий Зетьово;8;18.44;8;19.16
СТАРА ЗАГОРА;ЧИРПАН;С.СВОБОДА;2401186;ОУ Кирил и Методий .Свобода;17;17.24;17;14.53
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.БРАТЯ ДАСКАЛОВИ;2403098;СУ Христо Ботев;6;41.25;6;20.13
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.ГРАНИТ;2403099;ОУ П.К.Яворов;7;11.86;7;16.32
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.МИРОВО;2403100;ОУ Д-р Петър Берон;5;17.40;5;24.20
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.ОРИЗОВО;2403102;ОУ Христо Ботев;19;6.26;19;8.53
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.ПАРТИЗАНИН;2403103;ОУ Г.С.Раковски;4;14.13;5;15.00
СТАРА ЗАГОРА;БРАТЯ ДАСКАЛОВИ;С.ЧЕРНА ГОРА;2403105;ОУ Св.св.Кирил и Методий;16;10.03;16;12.13
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2403219;VI OУ Стара Загора;136;69.83;136;55.63
СТАРА ЗАГОРА;ГЪЛЪБОВО;ГР.ГЪЛЪБОВО;2404107;СУ Васил Левски;46;29.76;47;19.32
СТАРА ЗАГОРА;ГЪЛЪБОВО;ГР.ГЪЛЪБОВО;2404109;ІОУ .Гълъбово;18;21.14;18;15.68
СТАРА ЗАГОРА;ГЪЛЪБОВО;ГР.ГЪЛЪБОВО;2404110;ІІ ОУ Хр.Ботев г.Гълъбово;30;35.93;30;29.65
СТАРА ЗАГОРА;ГЪЛЪБОВО;С.ОБРУЧИЩЕ;2404113;ОУ Кирил и Методий с.Обручище;11;28.23;11;45.00
СТАРА ЗАГОРА;МЪГЛИЖ;ГР.МЪГЛИЖ;2405116;ОУ Хр.Ботев;31;21.95;32;20.05
СТАРА ЗАГОРА;МЪГЛИЖ;С.ВЕТРЕН;2405118;ОУ Св.св.Кирил и Методий;20;12.43;20;11.35
СТАРА ЗАГОРА;МЪГЛИЖ;С.ДЪБОВО;2405119;ОУ Кирил и Методий Дъбово;12;15.17;12;12.67
СТАРА ЗАГОРА;МЪГЛИЖ;С.ТУЛОВО;2405120;ОУ Хр. Смирненски;8;15.56;12;12.54
СТАРА ЗАГОРА;МЪГЛИЖ;С.ЯГОДА;2405122;ОУ Хр.Ботев Ягода;17;19.50;17;15.26
СТАРА ЗАГОРА;ГУРКОВО;ГР.ГУРКОВО;2406129;СУ Хр.Смирненски Гурково;41;21.54;40;14.91
СТАРА ЗАГОРА;ГУРКОВО;С.ПАНИЧЕРЕВО;2406130;ОУ Кирил и Методий;11;8.45;12;10.00
СТАРА ЗАГОРА;НИКОЛАЕВО;ГР.НИКОЛАЕВО;2407133;ОУ Св.св.Кирил и Методий;68;11.76;70;12.63
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;ГР.ПАВЕЛ БАНЯ;2409139;СУ Христо Ботев П. Баня;38;29.36;36;21.32
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.АЛЕКСАНДРОВО;2409141;ОУ с. Александрово;8;16.81;8;15.44
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.ГАБАРЕВО;2409142;ОУ Никола Й.Вапцаров -Габарево;15;23.83;15;21.77
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.ГОРНО САХРАНЕ;2409143;ОУ Васил Левски;12;10.92;12;10.92
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.МАНОЛОВО;2409145;ОУ Г.Бенковски;3;20.17;3;16.92
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.ОСЕТЕНОВО;2409146;ОУ Христо Ботев;4;25.63;4;15.75
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.СКОБЕЛЕВО;2409147;ОУ Скобелево;11;27.00;13;20.33
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.ТЪЖА;2409148;ОУ Просвета с. Тъжа;9;7.22;8;14.13
СТАРА ЗАГОРА;ПАВЕЛ БАНЯ;С.ТЪРНИЧЕНИ;2409149;ОУ Св. П Хилендарски;5;18.40;5;11.00
